Date,MediaType,Title,Author/Creator,Rating
19/9/2026,Book,A Hat Full of Sky,Terry Pratchett,7
15/9/2026,Book,Dune: Messiah,Frank Herbert,7
11/9/2026,Book,Frankenstein: the Modern Prometheus,Mary Shelley,6
11/9/2026,Book,The Wee Free Men,Terry Pratchett,6
11/9/2026,Book,Speaker for the Dead,Orson Scott Card,9
11/9/2026,Book,Remain,Nicholas Sparks,3
22/8/2026,Book,The Monsters We Make: Murder; Obsession; and the Rise of Criminal Profiling,Rachel Corbett,7
12/8/2026,Book,Wintersmith,Terry Pratchett,7
12/8/2026,Comic,I Love Amy,Unni,3
9/8/2026,Comic,Demon in the Wood,Leigh Bardugo and Dani Pendergast,7
9/8/2026,Book,Tiffany Aching’s Guide To Being a Witch,Rhianna Pratchett; Gabrielle Kent; Paul Kidby,5
9/8/2026,Book,Recitaf,Toni Morrison,4
9/8/2026,Book,Dune,Frank Herbert,8
9/8/2026,Comic,Nimona,N.D. Stevenson,6
8/8/2026,Book,Not Alone,Sarah Jackson,4
8/8/2026,Comic,Pixels of You,Ananth Hirsh; Yuko Ota; J.R. Doyle,8
Date Unknown,Book,Dragonwatch,Brandon Mull,4
Date Unknown,Comic,Thief of the Heights,Son M.; Robert Yao,5
Date Unknown,Book,Five Kingdoms (Sky Raiders),Brandon Mull,4

Non Books,--------,------,----------,--
22/9/2026,Show,Meta Runners,,3
22/9/2026,Show,Murder Drones,,4
22/9/2026,Show,Cowboy Bebop,,5
22/9/2026,Show,The Amazing Digital Circus,Gooseworx,8
22/9/2026,Show,Andor,,9
21/9/2026,Film,The Stepford Wives,,5
15/9/2026,Musical,Nerdy Prudes Must Die,StarKid,9
15/9/2026,Musical,Black Friday,StarKid,1
Date Unknown,Musical,Twisted,StarKid,7
Date Unknown,Film,Nimona,,6
Date Unknown,Musical,The Guy Who Didn't Like Musicals,StarKid,7
Date Unknown,Show,Breaking Bad,,7
Date Unknown,Show,Steven Universe,,5
Date Unknown,Album,You Seem Pretty Sad For A Girl So In Love,Olivia Rodrigo,7
